business_id,name,address,city,state,postal_code,latitude,longitude,stars_x,review_count,is_open,attributes,categories,hours,review_id,text,stars_y
I24pVfCFcQXBU6cbw3cTbA,Marvellous Edibles,120 Laird Dr,East York,ON,M4G 3V3,43.7069028,-79.3622402,3.5,4,0,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""u'full_bar'"", 'OutdoorSeating': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2'}",Restaurants,,LVgwBW4Bt3NTM84MVXpnsA,"I decided to try Marvellous Edibles because of the rave review the first reviewer gave it, and because it is in my neighborhood of Leaside. I've always driven past it and wondered what it was like, but since she gave it such a great review, I thought I'd give it a go. 

The restaurant has a sort of Parisian cafe feel to it, with mismatched chairs and some booths and tables, and a mural on the wall. Upon arrival mid-Saturday afternoon, we were also presented with 3 menus, breakfast (which was ending shortly), sandwiches and another menu which appeared to be dinner options, priced $16 - $24 range. My friend and I both selected from the sandwich menu. 

I ordered the BLT, but having noticed that they served peameal bacon for breakfast, asked if I could have peameal on my BLT, they obliged, no problem. My friend ordered the meat loaf sandwich and we both ordered the sweet potato fries. 

Service was fast, there were only 2 other occupied tables in the restaurant. I was expecting an average sandwich, didn't really figure you can screw up a BLT, er...thought wrong. The peameal was overcooked, and very dry, and it was served on 'white' bread, no egg or challah bread to be found here!! I was disappointed. The whole sandwich was dry, I asked for mayo, and the waiter said there was already mayo on it, I opened it up and the thing was bare. I showed him, and said, ""Umm, actually there's not..."" (awkward...) 

My friend's meatloaf sandwich was a mess!! First she had asked for no onions, was allergic to them, and upon receiving the sandwich, had to proceed to pick off somewhere in the range of 7-8 pieces of red onion off of her sandwich!! The problem with the sandwich was just that it was a complete mess. It was on a regular bun, and gravy was poured over the meatloaf and the other half of the bun was placed on top. On service, the bottom part of the bun, is soaked, drenched in gravy, making it impossible to pick up! It was just a mess, I think it would be a much more successful item choice if perhaps it was served as an open faced meat loaf sandwich, with the gravy in a boat on the side that you pour on yourself at the time you are going to eat it, so that the bottom bun doesn't disintegrate. 

As if our food quality wasn't bad enough while we were attempting to salvage a meal out of it, our entertainment was listening to our waiter bicker with the other waitress about table assignment and allocation of tips and how unfair she had been. The disagreement got quite heated and their voices were raised, creating quite a bit of tension in the restaurant amongst the customers, or at least, that was my perception. 

Overall, I was not impressed with the food or the service of this restaurant. I would not recommend it. I will not be returning to try their breakfast or brunch, or even to give it a second chance. Unfortunately, that was my very first and last visit. You know what they say, you never get a second chance to make a first impression.",1
0v7DIprUj2KASqg5PwqhUg,Burrell Inn,2734 Leechburg Rd,New Kensington,PA,15068,40.5902136,-79.7359453,3.5,9,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""'casual'"", 'HasTV': 'True', 'OutdoorSeating': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'GoodForKids': 'True'}",Restaurants,,MqKL9ELC4iHVgXxOwmrUOA,Came back into town after I moved out of state for a few years. We ordered the normal chicken salad with house dressing and chicken wings seasoned and to be honest. It was nothing like it used to be. The fries were dried out. Dressing was all paste. And the chicken wings didn't seem completely done. It's a shame bc I used to love this place. It def turned my taste buds to go elsewhere though. Hopefully it changes next time I visit!,2
0v7DIprUj2KASqg5PwqhUg,Burrell Inn,2734 Leechburg Rd,New Kensington,PA,15068,40.5902136,-79.7359453,3.5,9,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""'casual'"", 'HasTV': 'True', 'OutdoorSeating': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'GoodForKids': 'True'}",Restaurants,,GUpDFgYfcXjuq_xxijWE4g,"Stopped in to order a White pizza after shopping. Do I did not order ahead. First time there, wasn't a menu posted to see what options were... Ordered the White pizza almost 30 minute wait and was unimpressed with the pizza. Thin and no flavor.",1
0v7DIprUj2KASqg5PwqhUg,Burrell Inn,2734 Leechburg Rd,New Kensington,PA,15068,40.5902136,-79.7359453,3.5,9,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""'casual'"", 'HasTV': 'True', 'OutdoorSeating': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'GoodForKids': 'True'}",Restaurants,,TrkTEStdJPBVB2usbcFUww,"This is a great place for drinks and bar food if you don't mind the stench of cigarette smoke. Don't expect to escape the foul smell by sitting in the ""non-smoking"" dining area, separated by doors used by bar patrons to use the bathroom. 
I'll never know why any business owner would cater to the filthy, unhealthy habits of a few and risk losing the business of 76% of the population that do not smoke.",2
IotFqwZTgTpFxO1ZtiZE-A,Restaurant Amir,2921 Boul De La Concorde E,Laval,QC,H7E 2B5,45.5918928,-73.6701585,3.5,3,1,,Restaurants,,FoHHT8TZ8TcFrARtOeCO7g,Bad customer service and rude employees. Unfriendly atmosphere. The young girl serving me looked disgusted to work there and was purely throwing the food on the plate! Not going back,1
mxsgQr4mugtFCsu8ZqzFLA,Luchita's In Mentor,8870 Mentor Ave,Mentor,OH,44060,41.6738589,-81.3228213,2.5,3,1,"{'RestaurantsGoodForGroups': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2'}",Restaurants,,ttMstECJXDJwrmmUJuL8XA,"Where do I start, with the fact that this Mexican restaurant is owned by non mexicans or that the flavorless food is probably what they know as Mexican I don't know but I and everybody in my family were disapointed to say the least I ordered steak fajitas which is a Tex Mex dish FYI and it was horrible this are supposed to be grilled but not here they were boiled and this is a big no. The burrito my friend ordered was awful also so was the service with a waitress that try to speak Spanish to us with no luck at all which was weird because she had a Portuguese accent and both languages are alike anyways my advice go to Don Tequilas us just a couple blocks down.",1
G3tC4w70WyJ3Mk8udzENLQ,Restaurant Chez Dan,263 Boul Saint-Luc,Saint-Jean-sur-Richelieu,QC,J2W 1C4,45.3542742,-73.294999,3.0,4,1,,Restaurants,,WnTC1cvgLHPTD5jfFVGm8g,"Absolument inadmissible qu il n'y ait pas la possibilité de payer avec une carte de débit ou de crédit à cet établissement....Réveillez-vous ! On est en 2019 ! Aujourd'hui, la plupart des transactions se font en ligne. À moins que ça fasse bien votre affaire d'être payé en argent comptant...",1
sfWFdhpwsThk4w9nDg1tTA,Best Steak & Gyros House,13620 Euclid Ave,Cleveland,OH,44112,41.5242028,-81.5877029,3.0,4,1,"{'RestaurantsReservations': 'False', 'Alcohol': ""u'none'"", 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2'}",Restaurants,,xZuprDBAL3cKXwQmJBeLxw,"Consider this place a mid flight refueling station between the downtown nightclubs and a night in jail somewhere in the Heights lol

Definitely not a place for the faint hearted. I usually frequent the place late hours(2:00am-4:00am crazy huh?). The food is typical greasy spoon but good. The gyros are really good too. They buzz you to the restrooms through a locked door at the top of the stairs(apparently to control the vagrant piss population). They are conveniently located in an abyss of a catacomb basement piss trough(it may be better to wet your pants and stay alive than to chance it...) 

OH! ....and be sure to tip the local hustlers waiting outside. Cheap insurance and a distraction for a clean get away!",2
k9S4debJ-KEV7-b6pEOcpA,Food On the Move,14034 Saint Clair Ave,Cleveland,OH,44110,41.5499237,-81.5839978,1.5,3,1,,Restaurants,,p0Ccm0zMf0chH8irZ_HEWg,I waited a hour and 30 min. They game my food away to females that walked in 20 min after me and placed a order. Food was not what it was the first time I went,2
k9S4debJ-KEV7-b6pEOcpA,Food On the Move,14034 Saint Clair Ave,Cleveland,OH,44110,41.5499237,-81.5839978,1.5,3,1,,Restaurants,,4W05fkm-ak9jIAT5fd9WhA,This was my go to spot but tonight I got cold food and when I told them that it was they argued me down and ask what I wanted to do I said I would prefer some hot food told the guy my fries was cold on my polish boys he took the fries off and made some fresh ones and put them on a cold polish boy with soggy bread I took them and said I will never visit this establishment again but I will say the woman who works in the morning is awesome she always prepares hot food sorry she had to lose a loyal customer.,2
